t,S,I,R
6.5809914422265114,808,99,93
6.581540617754749,807,100,93
6.5820543236549724,806,101,93
6.599736282545422,805,102,93
6.600480538877601,804,103,93
6.604215407207514,803,104,93
6.613277978822026,803,103,94
6.617752368361362,803,102,95
6.619647794530671,802,103,95
6.647068766470665,801,104,95
6.6597550241312256,801,103,96
6.676382518893663,800,104,96
6.696509919615968,800,103,97
6.701374473932849,799,104,97
6.7041694490947865,799,103,98
6.714293611234058,798,104,98
6.732701414802511,797,105,98
6.7513341257020905,797,104,99
6.7588135055449206,796,105,99
6.772644968029914,795,106,99
6.785589369433433,794,107,99
6.787744367316629,794,106,100
6.799031145579203,793,107,100
6.8017973223303985,793,106,101
6.808348112768977,792,107,101
6.820311823593682,791,108,101
6.826903404706927,790,109,101
6.82790259425216,789,110,101
6.837168076148078,788,111,101
6.8464469637077245,787,112,101
6.849274869390347,787,111,102
6.853666504633497,786,112,102
6.8538130531310495,785,113,102
6.853920749923346,784,114,102
6.863207020697592,784,113,103
6.88673906783553,783,114,103
6.900180564542165,782,115,103
6.901239756616778,782,114,104
6.9346202480351655,782,113,105
6.988416050424086,781,114,105
6.991741374455254,781,113,106
7.002730499464223,781,112,107
7.042640376785388,780,113,107
7.0469120360539,780,112,108
7.085532744756329,779,113,108
7.0939663054074025,778,114,108
7.094884661727562,778,113,109
7.094968931486282,778,112,110
7.112926233233355,778,111,111
7.123918648408493,777,112,111
7.145805481611846,776,113,111
7.158447817596853,775,114,111
7.168774482340405,775,113,112
7.179247787171866,774,114,112
7.179482470413847,773,115,112
7.1795158784207125,772,116,112
7.185596435539259,772,115,113
7.207655392759246,771,116,113
7.208690261240852,770,117,113
7.21479492079539,770,116,114
7.220548149024322,769,117,114
7.229053529421681,768,118,114
7.229489321201418,767,119,114
7.230049958446604,766,120,114
7.2595906563983625,765,121,114
7.282363620460892,765,120,115
7.28564824505418,764,121,115
7.29105294926281,763,122,115
7.311442798285174,763,121,116
7.326386342428143,762,122,116
7.34148401316886,761,123,116
7.346388283657152,761,122,117
7.3597558633858835,761,121,118
7.361982578383227,760,122,118
7.390700701562885,759,123,118
7.398565273237679,758,124,118
7.400915353488719,757,125,118
7.40994192198356,757,124,119
7.432823523888933,756,125,119
7.434244884550626,755,126,119
7.441640555680988,754,127,119
7.444412011843309,753,128,119
7.463154716349896,753,127,120
7.477440699722757,752,128,120
7.500763390063006,751,129,120
7.50534013580677,750,130,120
7.50736255587548,749,131,120
7.510965795156104,749,130,121
7.531418227424206,748,131,121
7.544808966430267,747,132,121
7.545217851059299,747,131,122
7.55842738222951,747,130,123
7.578410267265535,747,129,124
7.58132775631716,746,130,124
7.587831324093009,745,131,124
7.591527110302451,744,132,124
7.609948227838598,743,133,124
7.626807319040098,742,134,124
7.629723555980379,741,135,124
7.631057839638744,741,134,125
7.646007334436101,740,135,125
7.649334307347615,739,136,125
7.6647070851594625,738,137,125
7.6708467821270325,737,138,125
7.672537587422373,737,137,126
7.685305308201478,736,138,126
7.685386953981354,735,139,126
7.69036654061247,734,140,126
7.698946524581345,733,141,126
7.700813068535527,732,142,126
7.702164673756947,731,143,126
7.7057665310338574,730,144,126
7.716690133262023,729,145,126
7.726226327549828,728,146,126
7.727532241661511,728,145,127
7.729539574252802,727,146,127
7.746953550143719,726,147,127
7.7844293453881335,725,148,127
7.7913441979459925,724,149,127
7.8071595122852715,723,150,127
7.810614802123707,723,149,128
7.8216256243336675,722,150,128
7.83962944105742,721,151,128
7.849647779206834,721,150,129
7.868412383496842,720,151,129
7.879531318139962,719,152,129
7.888488047116119,718,153,129
7.909802163600931,717,154,129
7.914384075869296,717,153,130
7.914717871366026,716,154,130
7.9166470697847195,715,155,130
7.928958639233156,714,156,130
7.930760777025162,713,157,130
7.946248416242428,712,158,130
7.9498768964155015,711,159,130
7.960002221073826,710,160,130
7.963510412436232,710,159,131
7.969717302259273,709,160,131
7.980682045444343,708,161,131
7.981367881287953,707,162,131
7.992980452295182,706,163,131
8.00814433320805,705,164,131
8.014231386144777,704,165,131
8.030450671194103,704,164,132
8.037742724560648,703,165,132
8.050140633792784,703,164,133
8.051318778757214,702,165,133
8.060658825043019,701,166,133
8.066040451710622,700,167,133
8.070097635676557,699,168,133
8.07077383074912,698,169,133
8.087288173173116,698,168,134
8.098964211846592,697,169,134
8.117236753052875,696,170,134
8.12307700568689,696,169,135
8.156935639377982,695,170,135
8.162233701348466,694,171,135
8.168455405262815,693,172,135
8.189888691222649,692,173,135
8.199574315015152,691,174,135
8.215798133253692,691,173,136
8.227286117390701,690,174,136
8.22961987081676,689,175,136
8.230902273924169,688,176,136
8.256850870437455,688,175,137
8.262235210476318,687,176,137
8.26411391081084,687,175,138
8.264308707629919,687,174,139
8.268235363473037,686,175,139
